id	gruppenr	udtryk	lemma	lemklas	kernevb	frame	komm
9749	619	accelerere	accelerere	vb.	accelerere	Operate_vehicle	NULL
16599	764	accent	accent	sb.	NULL	Spelling_and_pronouncing	NULL
26429	1081	accent	accent	sb.	NULL	Spelling_and_pronouncing	NULL
26430	1081	accent	accent	sb.	NULL	Spelling_and_pronouncing	NULL
26431	1081	accentuation	accentuation	sb.	NULL	Spelling_and_pronouncing	NULL
37305	301	accentuere	accentuere	vb.	accentuere	Convey_importance	NULL
13743	764	accentuere	accentuere	vb.	accentuere	Convey_importance	NULL
26493	1081	accentuere	accentuere	vb.	accentuere	Spelling_and_pronouncing	NULL
26890	1128	accentuere	accentuere	vb.	accentuere	Statement	NULL
27935	1189	accentuere	accentuere	vb.	accentuere	Performers_and_roles	NULL
13761	764	accentuering	accentuering	sb.	NULL	Convey_importance	NULL
4877	230	accept	accept	sb.	NULL	Satisfying	NULL
12727	684	accept	accept	sb.	NULL	Be_in_agreement_on_assessment	NULL
16364	693	accept	accept	sb.	NULL	Respond_to_proposal	NULL
28319	1159	accept	accept	sb.	NULL	Be_in_agreement_on_assessment	NULL
28332	1160	accept	accept	sb.	NULL	Be_in_agreement_on_assessment	NULL
4885	230	acceptere	acceptere	vb.	acceptere	Satisfying	NULL
4886	230	acceptere	acceptere	vb.	acceptere	Satisfying	NULL
12708	684	acceptere	acceptere	vb.	acceptere	Be_in_agreement_on_assessment	NULL
14450	684	acceptere	acceptere	vb.	acceptere	Giving_in	NULL
15026	693	acceptere	acceptere	vb.	acceptere	Judgment	NULL
14451	792	acceptere	acceptere	vb.	acceptere	Giving_in	NULL
17634	852	acceptere	acceptere	vb.	acceptere	Be_in_agreement_on_assessment	NULL
26156	1105	acceptere	acceptere	vb.	acceptere	Respond_to_proposal	NULL
28615	1159	acceptere	acceptere	vb.	acceptere	Judgment	NULL
28358	1160	acceptere	acceptere	vb.	acceptere	Be_in_agreement_on_assessment	NULL
29208	1162	acceptere	acceptere	vb.	acceptere	Respond_to_proposal	NULL
23575	NULL	acceptere	acceptere	vb.	acceptere	Judgment	cognition
12709	792	acceptere tingenes tilstand	acceptere	vb.	acceptere	Be_in_agreement_on_assessment	NULL
17635	852	acceptere tingenes tilstand	acceptere	vb.	acceptere	Be_in_agreement_on_assessment	NULL
28359	1160	acceptere tingenes tilstand	acceptere	vb.	acceptere	Be_in_agreement_on_assessment	NULL
11628	709	action	action	sb.	NULL	Activity_ongoing	NULL
4143	242	addere	addere	vb.	addere	Commutative_process	NULL
21412	966	addere	addere	vb.	addere	Adding_up	NULL
22693	966	addere	addere	vb.	addere	Commutative_process	NULL
27304	1155	addere	addere	vb.	addere	Adding_up	NULL
27381	1155	addere	addere	vb.	addere	Commutative_process	NULL
4135	242	addition	addition	sb.	NULL	Commutative_process	NULL
13717	683	adfærd	adfærd	sb.	NULL	Conduct	NULL
13718	683	adfærdsform	adfærdsform	sb.	NULL	Conduct	NULL
34308	1425	adfærdsregulere	adfærdsregulere	vb.	adfærdsregulere	Leadership	NULL
2119	102	adfærdsterapi	adfærdsterapi	sb.	NULL	Medical_specialties	NULL
28476	1172	adgangsformene	adgangsformene	vb.	adgangsformene	Deny_permission	NULL
35489	1488	adgangskode	adgangskode	sb.	NULL	Text	NULL
3963	269	adjungere	adjungere	vb.	adjungere	Cause_to_be_included	NULL
39421	1528	adkomst	adkomst	sb.	NULL	Getting	NULL
29222	1164	adlyde	adlyde	vb.	adlyde	Respond_to_proposal	NULL
20549	844	administrere	administrere	vb.	administrere	Self_control	NULL
30667	1325	administrere	administrere	vb.	administrere	Leadership	NULL
30668	1325	administrere	administrere	vb.	administrere	Leadership	NULL
34309	1430	administrere	administrere	vb.	administrere	Leadership	NULL
40250	1505	administrere	administrere	vb.	administrere	Working_a_post	mangler ramme til tjene/løn
35490	1488	adresse	adresse	sb.	NULL	Text	NULL
10123	569	adresseforandring	adresseforandring	sb.	NULL	Quitting_a_place	NULL
10284	569	adresseforandring	adresseforandring	sb.	NULL	Residence	NULL
11275	586	adressere	adressere	vb.	adressere	Text_creation	NULL
15329	715	adressere	adressere	vb.	adressere	Opinion	NULL
26785	1098	adressere	adressere	vb.	adressere	Statement	NULL
25289	1145	adressere	adressere	vb.	adressere	Contacting	NULL
25254	1098	adressere spørgsmålet til	adressere	vb.	adressere	Contacting	NULL
11276	586	adressering	adressering	sb.	NULL	Text_creation	NULL
3398	169	adskille	adskille	vb.	adskille	Separating	NULL
4436	253	adskille	adskille	vb.	adskille	Forming_relationships	NULL
4932	253	adskille	adskille	vb.	adskille	Separating	NULL
4934	253	adskille	adskille	vb.	adskille	Separating	NULL
4935	255	adskille	adskille	vb.	adskille	Separating	NULL
37390	329	adskille	adskille	vb.	adskille	Differentiation	NULL
11143	650	adskille	adskille	vb.	adskille	Separating	NULL
22799	964	adskille	adskille	vb.	adskille	Differentiation	NULL
3396	169	adskillelse	adskillelse	sb.	NULL	Separating	NULL
4911	253	adskillelse	adskillelse	sb.	NULL	Separating	NULL
4913	254	adskillelse	adskillelse	sb.	NULL	Separating	NULL
4914	255	adskillelse	adskillelse	sb.	NULL	Separating	NULL
11144	650	adskillelse	adskillelse	sb.	NULL	Separating	NULL
22800	964	adskillelse	adskillelse	sb.	NULL	Differentiation	NULL
27365	1159	adsorbere	adsorbere	vb.	adsorbere	Becoming_attached	NULL
4937	254	adsplitte	adsplitte	vb.	adsplitte	Separating	NULL
11145	650	adsplitte	adsplitte	vb.	adsplitte	Separating	NULL
4906	254	adsplittelse	adsplittelse	sb.	NULL	Separating	NULL
21136	861	adsprede	adsprede	vb.	adsprede	Subjective_influence	NULL
31464	1270	adsprede	adsprede	vb.	adsprede	Stimulate_emotion	NULL
32515	1400	adsprede	adsprede	vb.	adsprede	Cause_to_experience	NULL
24290	960	adspredthed	adspredthed	sb.	NULL	Remembering_information	NULL
25973	1099	adspørge	adspørge	vb.	adspørge	Questioning	NULL
38509	306	advare	advare	vb.	advare	Warning	NULL
17171	722	advare	advare	vb.	advare	Warning	NULL
28252	1170	advare	advare	vb.	advare	Attempt_suasion	NULL
29297	1170	advare	advare	vb.	advare	Warning	NULL
29301	1170	advare	advare	vb.	advare	Warning	NULL
29302	1170	advare	advare	vb.	advare	Warning	NULL
29303	1170	advare	advare	vb.	advare	Warning	NULL
28253	1170	advare mod	advare	vb.	advare	Attempt_suasion	NULL
29298	1170	advare mod	advare	vb.	advare	Warning	NULL
28254	1170	advare på det kraftigste mod	advare	vb.	advare	Attempt_suasion	NULL
29299	1170	advare på det kraftigste mod	advare	vb.	advare	Warning	NULL
28241	1171	advarsel	advarsel	sb.	NULL	Attempt_suasion	NULL
28934	1172	advarsel	advarsel	sb.	NULL	Judgment_direct_address	NULL
26677	1059	advisere	advisere	vb.	advisere	Statement	NULL
26891	1128	advokere	advokere	vb.	advokere	Statement	NULL
9196	646	ae	ae	vb.	ae	Manipulation	NULL
20195	921	ae	ae	vb.	ae	Manipulation	NULL
3612	237	afbalancere	afbalancere	vb.	afbalancere	Becoming_separated	NULL
4938	237	afbalancere	afbalancere	vb.	afbalancere	Separating	NULL
4773	244	afbanke	afbanke	vb.	afbanke	Removing	NULL
15915	795	afbankning	afbankning	sb.	NULL	Removing	Der findes ingen ramme til rengøring
3298	151	afbarke	afbarke	vb.	afbarke	Removing	NULL
925	31	afbarkning	afbarkning	sb.	NULL	Cutting	NULL
17124	815	afbenytte	afbenytte	vb.	afbenytte	Using	NULL
17142	815	afbenyttelse	afbenyttelse	sb.	NULL	Using	NULL
38828	1553	afbetale	afbetale	vb.	afbetale	Commerce_pay	NULL
27566	1179	afbilde	afbilde	vb.	afbilde	Cause_to_perceive	NULL
27660	1179	afbilde	afbilde	vb.	afbilde	Create_physical_artwork	NULL
27748	1179	afbilde	afbilde	vb.	afbilde	Create_representation	NULL
27731	1179	afbildning	afbildning	sb.	NULL	Create_representation	NULL
6084	500	afblege	afblege	vb.	afblege	Cause_change	NULL
16013	713	afblæse	afblæse	vb.	afblæse	Renunciation	NULL
16643	713	afblæse	afblæse	vb.	afblæse	Statement	NULL
12202	740	afblæse	afblæse	vb.	afblæse	Activity_stop	der mangler ramme til cancel
16032	713	afblæsning	afblæsning	sb.	NULL	Renunciation	NULL
12210	713	afbryde	afbryde	vb.	afbryde	Activity_stop	NULL
16945	713	afbryde	afbryde	vb.	afbryde	Thwarting	NULL
11860	740	afbryde	afbryde	vb.	afbryde	Activity_pause	NULL
12211	740	afbryde	afbryde	vb.	afbryde	Activity_stop	NULL
15009	808	afbryde	afbryde	vb.	afbryde	Interrupt_process	NULL
15574	808	afbryde	afbryde	vb.	afbryde	Preventing_or_letting	NULL
25044	1091	afbryde	afbryde	vb.	afbryde	Communication_manner	NULL
26820	1122	afbryde	afbryde	vb.	afbryde	Statement	NULL
30039	1286	afbryde	afbryde	vb.	afbryde	Communication_response	NULL
15433	740	afbryde forbindelsen	afbryde	vb.	afbryde	Personal_relationship	NULL
34888	1483	afbryde forbindelsen	afbryde	vb.	afbryde	Communication_response	NULL
12212	740	afbryde forhandlingerne	afbryde	vb.	afbryde	Activity_stop	NULL
13508	740	afbryde samarbejdet	afbryde	vb.	afbryde	Collaboration	NULL
34889	1483	afbryde samtalen	afbryde	vb.	afbryde	Communication_response	NULL
12301	713	afbrydelse	afbrydelse	sb.	NULL	Activity_stop	NULL
15020	808	afbrydelse	afbrydelse	sb.	NULL	Interrupt_process	NULL
11206	580	afbræk	afbræk	sb.	NULL	Temporary_stay	NULL
5912	512	afbrænde	afbrænde	vb.	afbrænde	Apply_heat	NULL
6288	518	afbrænde	afbrænde	vb.	afbrænde	Cause_to_burn	NULL
7438	518	afbrænde	afbrænde	vb.	afbrænde	Setting_fire	NULL
33484	1375	afbrænder	afbrænder	sb.	NULL	Sports_jargon	NULL
5898	512	afbrænding	afbrænding	sb.	NULL	Apply_heat	NULL
7413	518	afbrænding	afbrænding	sb.	NULL	Setting_fire	NULL
15660	808	afbøde	afbøde	vb.	afbøde	Protecting	NULL
38829	1553	afdrage	afdrage	vb.	afdrage	Commerce_pay	NULL
31546	1283	afdramatisere	afdramatisere	vb.	afdramatisere	Suasion	NULL
33686	1373	afdrible	afdrible	vb.	afdrible	Sports_jargon	NULL
3299	151	afdække	afdække	vb.	afdække	Removing	NULL
25573	1072	afdække	afdække	vb.	afdække	Hearsay	NULL
26377	1075	afdække	afdække	vb.	afdække	Reveal_secret	NULL
27513	1176	afdække	afdække	vb.	afdække	Scrutiny	NULL
2917	148	afdækning	afdækning	sb.	NULL	Filling	NULL
3290	151	afdækning	afdækning	sb.	NULL	Removing	NULL
26277	1072	afdækning	afdækning	sb.	NULL	Reveal_secret	NULL
31547	1283	afdæmpe	afdæmpe	vb.	afdæmpe	Suasion	NULL
340	29	affaldsbehandling	affaldsbehandling	sb.	NULL	Removing	NULL
341	29	affaldsbortskaffelse	affaldsbortskaffelse	sb.	NULL	Removing	NULL
228	29	affaldsdeponering	affaldsdeponering	sb.	NULL	Placing	NULL
400	22	affaldshåndtering	affaldshåndtering	sb.	NULL	Using	NULL
342	29	affaldshåndtering	affaldshåndtering	sb.	NULL	Removing	NULL
15174	703	affaldsplanlægning	affaldsplanlægning	sb.	NULL	Making_arrangements	NULL
1333	65	affarve	affarve	vb.	affarve	Grooming	NULL
6082	500	affarve	affarve	vb.	affarve	Cause_change	NULL
6073	500	affarvning	affarvning	sb.	NULL	Cause_change	NULL
35248	1472	affase	affase	vb.	affase	Processing_materials	NULL
27237	1142	affatte	affatte	vb.	affatte	Text_creation	NULL
15893	795	affedte	affedte	vb.	affedte	Removing	Der findes ingen ramme til rengøring
15916	795	affedtning	affedtning	sb.	NULL	Removing	Der findes ingen ramme til rengøring
26171	1106	affeje	affeje	vb.	affeje	Respond_to_proposal	NULL
20769	918	afficere	afficere	vb.	afficere	Stimulate_emotion	NULL
14441	684	affinde sig med	affinde	vb.	affinde	Giving_in	Der mangler rammer til denne danske bet. (og engelske verber)
14452	792	affinde sig med	affinde	vb.	affinde	Giving_in	NULL
21303	852	affinde sig med	affinde	vb.	affinde	Tolerating	NULL
24628	1020	affinde sig med	affinde	vb.	affinde	Tolerating	NULL
28360	1160	affinde sig med	affinde	vb.	affinde	Be_in_agreement_on_assessment	NULL
29209	1162	affinde sig med	affinde	vb.	affinde	Respond_to_proposal	NULL
14442	684	affinde sig med situationen	affinde	vb.	affinde	Giving_in	Der mangler rammer til denne danske bet. (og engelske verber)
1653	38	affodre	affodre	vb.	affodre	Ingestion	NULL
32345	1332	affodre	affodre	vb.	affodre	Offering	MANGLER
31957	1338	affodre	affodre	vb.	affodre	Giving	NULL
32341	1332	affodring	affodring	sb.	NULL	Offering	MANGLER
2868	125	affolke	affolke	vb.	affolke	Deny_or_grant_permission	NULL
23679	1023	affotografere	affotografere	vb.	affotografere	Memorization	NULL
27778	1187	affotografere	affotografere	vb.	affotografere	Create_representation	NULL
27638	1187	affotografering	affotografering	sb.	NULL	Create_physical_artwork	NULL
27742	1187	affotografering	affotografering	sb.	NULL	Create_representation	NULL
6207	563	affugte	affugte	vb.	affugte	Cause_to_be_dry	NULL
6183	563	affugtning	affugtning	sb.	NULL	Cause_to_be_dry	NULL
25045	1091	affyre	affyre	vb.	affyre	Communication_manner	NULL
34597	1498	affyre	affyre	vb.	affyre	Attack	NULL
11948	730	affyre startskuddet	startskud	sb.	affyre	Activity_prepare	NULL
12118	730	affyre startskuddet	startskud	sb.	affyre	Activity_start	NULL
34579	1498	affyring	affyring	sb.	NULL	Attack	NULL
16318	766	affærdige	affærdige	vb.	affærdige	Respond_to_proposal	NULL
28209	1168	affærdige	affærdige	vb.	affærdige	Agree_or_refuse_to_act	NULL
28196	1168	affærdigelse	affærdigelse	sb.	NULL	Agree_or_refuse_to_act	NULL
36854	359	afføde	afføde	vb.	afføde	Causation	NULL
13007	700	afføde	afføde	vb.	afføde	Causation	NULL
3448	151	afføre	afføre	vb.	afføre	Undressing	NULL
35653	1456	afføre nogen noget	afføre	vb.	afføre	Undressing	NULL
35683	1455	afføre sig	afføre	vb.	afføre	Wearing	NULL
3451	152	afføre sig noget	afføre	vb.	afføre	Undressing	NULL
1129	80	afføring	afføring	sb.	NULL	Excreting	NULL
8767	572	afgang	afgang	sb.	NULL	Departing	NULL
8768	587	afgang	afgang	sb.	NULL	Departing	NULL
8769	600	afgang	afgang	sb.	NULL	Departing	NULL
8770	606	afgang	afgang	sb.	NULL	Departing	NULL
8771	641	afgang	afgang	sb.	NULL	Departing	NULL
23198	1010	afgang	afgang	sb.	NULL	Examination	NULL
23199	1011	afgang	afgang	sb.	NULL	Examination	NULL
39809	1510	afgang	afgang	sb.	NULL	Quitting	NULL
39810	1590	afgang	afgang	sb.	NULL	Quitting	NULL
23200	1011	afgangseksamen	afgangseksamen	sb.	NULL	Examination	NULL
23201	1011	afgangsprøve	afgangsprøve	sb.	NULL	Examination	NULL
7330	563	afgasse	afgasse	vb.	afgasse	Removing	NULL
882	106	afgifte	afgifte	vb.	afgifte	Cure	NULL
883	109	afgifte	afgifte	vb.	afgifte	Cure	NULL
907	106	afgiftning	afgiftning	sb.	NULL	Cure	NULL
908	109	afgiftning	afgiftning	sb.	NULL	Cure	NULL
4915	246	afgiftsnedsættelse	afgiftsnedsættelse	sb.	NULL	Separating	NULL
27387	1159	afgive	afgive	vb.	afgive	Emitting	NULL
39490	1521	afgive	afgive	vb.	afgive	Giving	NULL
39491	1521	afgive	afgive	vb.	afgive	Giving	NULL
27391	1159	afgive elektroner	afgive	vb.	afgive	Emitting	NULL
26734	1063	afgive en erklæring	afgive	vb.	afgive	Statement	NULL
28432	1154	afgive et løfte	løfte	sb.	afgive	Commitment	NULL
24481	991	afgive sin stemme	stemme	sb.	afgive	Statement	NULL
34477	1423	afgive sin stemme	stemme	sb.	afgive	Taking_sides	?
27392	1159	afgive varme	afgive	vb.	afgive	Emitting	NULL
38824	1521	afgivelse	afgivelse	sb.	NULL	Commerce_goods-transfer	NULL
32236	1333	afgnave	afgnave	vb.	afgnave	Ingestion	NULL
7317	482	afgnide	afgnide	vb.	afgnide	Removing	NULL
4289	245	afgrene	afgrene	vb.	afgrene	Evaluative_comparison	NULL
22801	964	afgrænse	afgrænse	vb.	afgrænse	Differentiation	NULL
24482	991	afgrænse sig	afgrænse	vb.	afgrænse	Statement	NULL
3433	153	afgrænsning	afgrænsning	sb.	NULL	Surrounding	NULL
21990	964	afgrænsning	afgrænsning	sb.	NULL	Categorization	NULL
21991	964	afgrænsningsproblem	afgrænsningsproblem	sb.	NULL	Categorization	NULL
1686	36	afgræsning	afgræsning	sb.	NULL	Ingestion	NULL
1630	36	afgræsse	afgræsse	vb.	afgræsse	Ingestion	mangler ramme til biologisk liv
13867	689	afgøre	afgøre	vb.	afgøre	Deciding	NULL
13868	698	afgøre	afgøre	vb.	afgøre	Deciding	NULL
13869	698	afgøre	afgøre	vb.	afgøre	Deciding	NULL
37129	292	afgøre hvad	afgøre	vb.	afgøre	Certainty	NULL
22476	947	afgøre med sig selv	afgøre	vb.	afgøre	Coming_to_believe	NULL
37130	292	afgøre om	afgøre	vb.	afgøre	Certainty	NULL
8773	606	afgå	afgå	vb.	afgå	Departing	NULL
39811	1590	afgå	afgå	vb.	afgå	Quitting	NULL
977	110	afgå ved døden	død	sb.	afgå	Death	NULL
24631	953	afhandle	afhandle	vb.	afhandle	Topic	NULL
38590	1528	afhente	afhente	vb.	afhente	Bringing	NULL
16237	803	afhjælpe	afhjælpe	vb.	afhjælpe	Resolve_problem	NULL
31270	1313	afhjælpe	afhjælpe	vb.	afhjælpe	Resolve_problem	NULL
16238	803	afhjælpe ved at	afhjælpe	vb.	afhjælpe	Resolve_problem	NULL
15130	715	afholde	afholde	vb.	afholde	Making_arrangements	NULL
33084	1398	afholde	afholde	vb.	afholde	Have_visitor_over	Mangler
14327	712	afholde sig fra	afholde	vb.	afholde	Forgoing	NULL
28177	1166	afholde sig fra	afholde	vb.	afholde	Activity_abandoned_state	NULL
4290	245	afhugge	afhugge	vb.	afhugge	Evaluative_comparison	NULL
34971	1465	afhugge	afhugge	vb.	afhugge	Cutting	NULL
34972	1472	afhugge	afhugge	vb.	afhugge	Cutting	NULL
926	31	afhugning	afhugning	sb.	NULL	Cutting	NULL
38861	1565	afhænde	afhænde	vb.	afhænde	Commerce_sell	NULL
38862	1594	afhænde	afhænde	vb.	afhænde	Commerce_sell	NULL
38863	1594	afhændelse	afhændelse	sb.	NULL	Commerce_sell	NULL
6112	531	afhærde	afhærde	vb.	afhærde	Cause_change_of_strength	NULL
35207	1496	afhærdning	afhærdning	sb.	NULL	Processing_materials	NULL
25974	1099	afhøre	afhøre	vb.	afhøre	Questioning	NULL
35907	1637	afhøre	afhøre	vb.	afhøre	Criminal_investigation	NULL
25929	1099	afhøring	afhøring	sb.	NULL	Questioning	NULL
35895	1637	afhøring	afhøring	sb.	NULL	Criminal_investigation	NULL
35894	1637	afhøringsteknik	afhøringsteknik	sb.	NULL	Criminal_investigation	NULL
1231	33	afhøste	afhøste	vb.	afhøste	Food_gathering	NULL
34973	1466	afhøvle	afhøvle	vb.	afhøvle	Cutting	NULL
34773	1484	afinstallation	afinstallation	sb.	NULL	Change_operational_state	NULL
34789	1484	afinstallere	afinstallere	vb.	afinstallere	Change_operational_state	NULL
34774	1484	afinstallering	afinstallering	sb.	NULL	Change_operational_state	NULL
14386	713	afkald	afkald	sb.	NULL	Forgoing	NULL
1832	91	afkalke	afkalke	vb.	afkalke	Medical_conditions	NULL
15894	795	afkalke	afkalke	vb.	afkalke	Removing	Der findes ingen ramme til rengøring
15917	795	afkalkning	afkalkning	sb.	NULL	Removing	Der findes ingen ramme til rengøring
29866	1306	afklapse	afklapse	vb.	afklapse	Cause_harm	NULL
29565	1315	afklapse	afklapse	vb.	afklapse	Beat_opponent	NULL
32977	1362	afklapse	afklapse	vb.	afklapse	Finish_competition	NULL
32978	1373	afklapse	afklapse	vb.	afklapse	Finish_competition	NULL
32931	1373	afklapsning	afklapsning	sb.	NULL	Finish_competition	NULL
20437	843	afklare	afklare	vb.	afklare	Resolve_problem	NULL
22477	949	afklare	afklare	vb.	afklare	Coming_to_believe	NULL
22095	975	afklare	afklare	vb.	afklare	Cogitation	NULL
25975	1099	afklare spørgsmålet	afklare	vb.	afklare	Questioning	NULL
22096	975	afklaring	afklaring	sb.	NULL	Cogitation	NULL
25930	1099	afklaring af spørgsmålet	afklaring	sb.	NULL	Questioning	NULL
25931	1099	afklaring på spørgsmålet	afklaring	sb.	NULL	Questioning	NULL
3717	245	afklippe	afklippe	vb.	afklippe	Cause_change_of_position_on_a_scale	NULL
34974	1463	afklippe	afklippe	vb.	afklippe	Cutting	NULL
3300	151	afklæde	afklæde	vb.	afklæde	Removing	NULL
3449	151	afklæde	afklæde	vb.	afklæde	Undressing	NULL
35654	1456	afklæde	afklæde	vb.	afklæde	Undressing	NULL
35684	1455	afklæde sig	afklæde	vb.	afklæde	Wearing	NULL
3446	151	afklædning	afklædning	sb.	NULL	Undressing	NULL
3447	152	afklædning	afklædning	sb.	NULL	Undressing	NULL
21676	1000	afkode	afkode	vb.	afkode	Becoming_aware	NULL
21677	1000	afkode	afkode	vb.	afkode	Becoming_aware	NULL
26063	1141	afkode	afkode	vb.	afkode	Reading_perception	NULL
26055	1141	afkodning	afkodning	sb.	NULL	Reading_perception	NULL
34195	1416	afkolonisere	afkolonisere	vb.	afkolonisere	Conquering	NULL
4188	197	afkorte	afkorte	vb.	afkorte	Cutting	NULL
4775	245	afkorte	afkorte	vb.	afkorte	Removing	NULL
25444	1119	afkorte	afkorte	vb.	afkorte	Encoding	NULL
4753	197	afkortning	afkortning	sb.	NULL	Removing	NULL
3685	245	afkortning	afkortning	sb.	NULL	Cause_change_of_position_on_a_scale	NULL
36149	1627	afkriminalisere	afkriminalisere	vb.	afkriminalisere	Legal_rulings	NULL
36127	1627	afkriminalisering	afkriminalisering	sb.	NULL	Legal_rulings	NULL
36730	1647	afkristne	afkristne	vb.	afkristne	Suasion	NULL
3443	144	afkrydse	afkrydse	vb.	afkrydse	Text_creation	NULL
789	85	afkræfte	afkræfte	vb.	afkræfte	Cause_harm	NULL
36910	375	afkræfte	afkræfte	vb.	afkræfte	Cause_benefit_or_detriment	NULL
26172	1106	afkræfte	afkræfte	vb.	afkræfte	Respond_to_proposal	NULL
26173	1106	afkræfte	afkræfte	vb.	afkræfte	Respond_to_proposal	NULL
26224	1131	afkræfte	afkræfte	vb.	afkræfte	Respond_to_proposal	NULL
1901	91	afkræftelse	afkræftelse	sb.	løbe	Medical_conditions	NULL
26145	1131	afkræftelse	afkræftelse	sb.	NULL	Respond_to_proposal	NULL
16077	812	afkræve	afkræve	vb.	afkræve	Request	NULL
31223	1297	afkræve	afkræve	vb.	afkræve	Request	NULL
921	31	afkviste	afkviste	vb.	afkviste	Cutting	NULL
38830	1559	afkøbe	afkøbe	vb.	afkøbe	Commerce_pay	NULL
6405	520	afkøle	afkøle	vb.	afkøle	Change_of_temperature	NULL
6167	522	afkøle	afkøle	vb.	afkøle	Cause_temperature_change	NULL
6145	522	afkøling	afkøling	sb.	NULL	Cause_temperature_change	NULL
34790	1476	aflade	aflade	vb.	aflade	Change_operational_state	NULL
34775	1476	afladning	afladning	sb.	NULL	Change_operational_state	NULL
12422	803	aflaste	aflaste	vb.	aflaste	Assistance	NULL
15661	803	aflaste	aflaste	vb.	aflaste	Protecting	NULL
38545	1505	aflaste	aflaste	vb.	aflaste	Assistance	NULL
26518	1110	aflede	aflede	vb.	aflede	Spelling_and_pronouncing	NULL
23500	962	aflede opmærksomheden	aflede	vb.	aflede	Intentional_deception	NULL
26457	1110	afledning	afledning	sb.	NULL	Spelling_and_pronouncing	NULL
23501	962	afledningsmanøvre	afledningsmanøvre	sb.	NULL	Intentional_deception	NULL
37527	355	aflevere	aflevere	vb.	aflevere	Giving	NULL
26760	1091	aflevere	aflevere	vb.	aflevere	Statement	NULL
33687	1373	aflevere	aflevere	vb.	aflevere	Sports_jargon	NULL
33688	1375	aflevere	aflevere	vb.	aflevere	Sports_jargon	NULL
39492	1521	aflevere	aflevere	vb.	aflevere	Giving	NULL
25290	1145	aflevere et brev	aflevere	vb.	aflevere	Contacting	NULL
39812	1510	aflevere sin opsigelse	opsigelse	sb.	aflevere	Quitting	NULL
37520	355	aflevering	aflevering	sb.	NULL	Giving	NULL
33485	1375	aflevering	aflevering	sb.	NULL	Sports_jargon	NULL
39493	1521	aflevering	aflevering	sb.	NULL	Giving	NULL
25158	1124	aflire	aflire	vb.	aflire	Communication_manner	NULL
27558	1192	aflire	aflire	vb.	aflire	Cause_to_make_noise	NULL
25788	1124	afliring	afliring	sb.	NULL	Mention	NULL
1983	40	aflive	aflive	vb.	aflive	Medical_intervention	NULL
1711	112	aflive	aflive	vb.	aflive	Killing	NULL
1712	113	aflive	aflive	vb.	aflive	Killing	NULL
12203	740	aflive	aflive	vb.	aflive	Activity_stop	der mangler ramme til cancel
16644	817	aflive	aflive	vb.	aflive	Statement	NULL
2081	40	aflivning	aflivning	sb.	NULL	Medical_intervention	NULL
1772	113	aflivning	aflivning	sb.	NULL	Killing	NULL
2082	40	aflivningsmetode	aflivningsmetode	sb.	NULL	Medical_intervention	NULL
1773	113	aflivningsmetode	aflivningsmetode	sb.	NULL	Killing	NULL
24032	1052	aflokke	aflokke	vb.	aflokke	Questioning	NULL
2823	186	aflukke	aflukke	vb.	aflukke	Closure	NULL
34531	1459	aflukning	aflukning	sb.	NULL	Attaching	NULL
23413	1002	aflure	aflure	vb.	aflure	Grasp	NULL
29652	1297	aflure	aflure	vb.	aflure	Becoming_aware	NULL
